id	zi	gloss	QZ	ZZ	DT	JY	CY	LZ	PSM		
203	缸		kŋ⁴	kŋ⁵	kaŋ¹	kɯŋ¹	kɯŋ¹	kɔ⁴	ɤ*kõ¹		
204	□	easy	kue⁵	⁻⁻⁻⁻	⁻⁻⁻	koi⁶	koi⁶	⁻⁻⁻	*koi⁶		
205	食		tsiaʔ⁸	tsiaʔ⁸⁵	tsia⁴	tsiaʔ⁸	tsiaʔ⁵	tsia⁴	*tsiaʔ		
206	墘		kĩ	⁻⁻⁻⁻	kiŋ²	kĩ	kĩ	ki²	ɤki²		
207	鱔		tsʰuã⁴	siaŋ⁰	tsʰua⁴	siaŋ⁴	siaŋ⁴	tsʰua⁴	⁴ʻtsʰua⁴⁴ *sʂian⁴		
208	卵		nŋ⁴	luĩ⁶	nuŋ0	nɯŋ⁴	nɯŋ⁴	nui⁴	*nuiĩ⁴		
209	茄		kio²	kio²	kiɤ²	kio²	kio²	kiɔ²	*kio²		
210	八		pueʔ⁷	peʔ⁷	pe⁵	poiʔ⁷	poiʔ⁷	poɒi⁷	ɤpoiʔ⁷		
211	兄		hiã¹	hiã¹	hiã¹	hiã¹	hiã¹	hia¹	*hiã		
212	嫂		so³	so³	sɤ²	so³	so³	sɔ³	ɤso²		
213	胎		tʰə¹	tʰe¹	tʰɛ¹	tʰo¹	ɬɕ	tʰai¹	xtʰø¹		
214	空		kʰaŋ¹	kʰaŋ⁷	kʰaŋ	kʰaŋ	kʰaŋ	⁻⁻⁵	*kʰaŋ¹		
215	終		tsiɔŋ¹	tsiɔŋ¹	tsoŋ¹	tsoŋ¹	tsoŋ¹	tsɔŋ¹	*tsioŋ¹		
216	入		lip⁸	dzip⁸	leʔ⁸	zip⁸	zip³	zip⁸	*dip⁸		
217	估		kɔ³	kɔ³	⁻⁻⁻⁻	⁻⁻⁻	kou³	kɛu³	*kou³		
218	屎		sai³	sai³	sɛ³	sai³	sai³	sai³	*sai³		
219	貴		kui⁵	kui⁵	kui⁵	kui⁵	kui⁵	kui⁵	*kui⁵		
220	熄		sit⁷	sit⁷	seʔ⁷	sek⁷	sek⁷	sik⁷	*set⁷		
221	極		kiak⁸	kik⁷	keʔ⁸	kek⁸	kek⁸	kik⁸	*kik⁵		
222	目		bak⁶	bak⁸	baʔ⁸	mak⁸	mak⁸	mak⁸	*mak⁸		
223	眉		bai²	bai²	bɛ²	bai²	bai²	bai²	*bai²		
224	面		bin⁵	bin⁶	beŋ⁵	meŋ⁶	miŋ⁶	mieŋ¹	*min⁶		
225	跋		puaʔ⁵	puaʔ⁵	pua⁴	puaʔ⁵	puaʔ⁵	pua⁴	*puaʔ⁵		
226	□	fan (v.)	⁻⁻⁻	⁻⁻ᵐ	pʰua⁵	pʰuaʔ⁷	pʰuaʔ⁷¹	⁻⁻⁻	xpʰuaʔ⁷		
227	遠		hŋ³	hui⁶	huŋ⁴	hŋ⁴	hŋ⁴	hui⁴	*huiĩ⁴		
228	屁		pʰui⁵	pʰui⁵	pʰui⁵	pʰui⁵	pʰui⁵	pʰui⁵	*pʰui⁵		
229	緊		kin³	kin⁹	keŋ³	keŋ³	kiŋ³	kieŋ³	*kin³		
230	肥		pui²	pui²	pui²	pui²	pui²	pui²	*pui²		
231	伯		peʔ⁷	pɛʔ⁷	pa⁵	peʔ⁷	peʔ⁷	pɛ⁷	*peʔ⁷		
232	叔		tsiak⁷	tsik⁷	tsɤ⁴	tsek⁷	tsek⁷	tsip⁷	*tsɯk⁷		
233	飼		tsʰi⁵	tsʰi⁶	tsʰi¹	tsʰi⁶	tsʰi⁶	tsʰi¹	ɤ*tsʰi⁶		
234	眩		hin²	⁻⁻⁻	heŋ²	heŋ²	hiŋ²	hieŋ²	*hin²		
235	節		tsueʔ⁷	tseʔ⁷	tse⁵	tsoiʔ⁷	tsoiʔ⁷	tsɔi⁷	ɤtsoiʔ⁷		
236	少		tsio²	tsio⁸	tsɤ²	tsio²	tsio²	tsiɔ²	ɤtsio²		
